MCGS_TIME,MCGS_TIMEMS,Cold trap,Тем-ра камеры,№Іѕ§µгОВ¶И,регулир-я,Уставка температуры,"Вакуум, ПА",температура 1,температура 2,температура 3,температура 4,температура 5,температура 6
15.03.2024 11:51,314,1,-30.7,925.7,-12.6,-50,90026.66,-14.6,-18.7,-16.7,-20.6,-21,-20.4
15.03.2024 11:54,313,0.4,-32.6,925.7,-8.1,-50,110000,-16.3,-20.9,-18.9,-22.7,-23.2,-22.6
15.03.2024 11:57,313,0,-34.4,925.7,-4.4,-50,110000,-18.1,-22.9,-20.9,-24.7,-25.3,-24.7
15.03.2024 12:00,313,-0.6,-36,925.7,-1.4,-50,110000,-19.6,-24.8,-22.7,-26.4,-27.1,-26.6
15.03.2024 12:03,313,-1.1,-37.4,925.7,1.1,-50,110000,-20.9,-26.5,-24.3,-28.1,-28.9,-28.3
15.03.2024 12:06,314,-1.4,-38.7,925.7,3.3,-50,110000,-22.5,-28,-25.7,-29.7,-30.4,-29.7
15.03.2024 12:09,313,-2.1,-40,925.7,5.2,-50,110000,-23.6,-29.5,-27.1,-31,-31.8,-30.9
15.03.2024 12:12,314,-2.6,-41.2,925.7,6.8,-50,97160,-24.7,-30.8,-28.4,-32.4,-33.1,-31.8
15.03.2024 12:15,314,-3.1,-42.3,925.7,8.1,-50,95733.33,-25.6,-32.1,-29.5,-33.5,-34.3,-32.6
15.03.2024 12:18,314,-3.6,-43.4,925.7,9.2,-50,95733.33,-26.6,-33.2,-30.6,-34.6,-35.4,-33.4
15.03.2024 12:21,314,-4.2,-44.4,925.7,10.2,-50,94306.66,-27.4,-34.3,-31.6,-35.6,-36.5,-34.2
15.03.2024 12:24,313,-4.7,-45.3,925.7,11,-50,92880,-28.1,-35.3,-32.5,-36.7,-37.5,-35.2
15.03.2024 12:27,314,-5.1,-46.2,925.7,11.6,-50,92880,-28.9,-36.3,-33.3,-37.6,-38.4,-36.8
15.03.2024 12:30,314,-5.5,-47.1,925.7,12.2,-50,92880,-29.8,-37.2,-34.1,-38.4,-39.2,-38
