MCGS_TIME,MCGS_TIMEMS,Secondary machine,Shelf,Eutectic,Cold trap,Set,Vacuum,temp1,temp2,temp3,temp4,temp5,temp6
19.07.2024 14:15,262,-21.7,11.6,925.7,23.9,-50,109,24.7,25.3,26.4,24.9,25.2,25
19.07.2024 14:18,262,-26.9,11.8,925.7,24.5,-50,102.33,24.6,25.2,26.3,24.9,25.1,24.9
19.07.2024 14:21,262,-11.6,13.5,925.7,-35.1,-50,98.03,23.2,23.9,24.4,23.3,23.8,23.4
19.07.2024 14:24,261,-4.5,13.6,925.7,-54.4,-40,96.57,22.8,23.5,23.8,22.9,23.4,23
19.07.2024 14:27,261,10.7,13.1,925.7,-49.3,-40,92.21,22.2,22.4,22.5,21.4,22.8,21.5
19.07.2024 14:30,261,18.6,9,925.7,-36.2,-40,86.89,19.4,19.1,19,17.8,20,18
19.07.2024 14:33,261,19.3,5,925.7,-28.1,-40,77.68,13,13.2,13.2,12.3,14.2,12.5
19.07.2024 14:36,262,17.7,1,925.7,-20.3,-40,70.42,8.4,9.5,9.6,8.4,9.6,8.1
19.07.2024 14:39,262,15.3,-2.2,925.7,-10.4,-40,63.75,4.4,6.1,6.5,5.1,6,4.5
19.07.2024 14:42,261,14.2,-5.8,925.7,-2,-40,61,1.6,3.2,3.9,2,2.9,1.7
19.07.2024 14:45,262,13.1,-9.1,925.7,1.3,-40,59.25,-0.7,0.5,1.1,-0.9,0.2,-0.9
19.07.2024 14:48,261,11.6,-11.9,925.7,-57.2,-40,58,-2.7,-1.8,-1.3,-2.9,-2,-1.8
19.07.2024 14:51,261,9.5,-13.8,925.7,-58.8,-40,57,-4.8,-3.4,-3.4,-5.6,-1.8,-5
19.07.2024 14:54,261,8.3,-15.2,925.7,-59.6,-40,56,-6.6,-5.2,-3.5,-7.2,-5.6,-6.8
19.07.2024 14:57,262,7.5,-16.6,925.7,-60.6,-40,55.25,-7.9,-6.5,-6,-8.4,-7,-8.1
19.07.2024 15:00,262,8.1,-18.5,925.7,-52.6,-40,54.5,-9.3,-7.3,-7.4,-9.9,-8.4,-9.5
19.07.2024 15:03,262,9.6,-20.8,925.7,-41.3,-40,54.25,-11.3,-9.6,-9.3,-11.9,-10.3,-11.5
19.07.2024 15:06,262,9.4,-22.8,925.7,-62.2,-40,54,-13.3,-11.5,-11,-13.9,-12.3,-13.3
19.07.2024 15:09,262,8.7,-24.6,925.7,-63.4,-40,53.75,-15,-13.1,-12.7,-15.6,-13.9,-14.8
19.07.2024 15:12,261,7.6,-26.1,925.7,-64.2,-40,54.25,-16.5,-14.5,-14.1,-17.2,-15.4,-16.3
19.07.2024 15:15,262,7,-27.5,925.7,-64.9,-40,54.5,-17.8,-15.8,-15.4,-18.5,-16.8,-17.6
19.07.2024 15:18,261,5.3,-28.7,925.7,-65.6,-40,54.25,-19.1,-16.9,-16.5,-19.7,-18,-18.8
19.07.2024 15:21,262,4.3,-29.8,925.7,-66.3,-40,54.25,-20.1,-17.9,-17.5,-20.8,-19,-19.9
19.07.2024 15:24,261,3.7,-30.7,925.7,-66.6,-40,54.5,-21,-18.8,-18.3,-21.7,-19.9,-20.8
19.07.2024 15:27,261,5.3,-31.9,925.7,-53,-40,55,-22,-19.7,-19.3,-22.7,-20.9,-21.8
19.07.2024 15:30,261,5.2,-33.1,925.7,-68,-40,55.25,-23.2,-20.8,-20.3,-23.9,-22,-23
19.07.2024 15:33,261,5,-34.1,925.7,-68,-40,55.5,-24.2,-21.8,-21.3,-24.9,-23.1,-24
19.07.2024 15:36,262,3.8,-35.1,925.7,-68.7,-40,55.75,-25.1,-22.6,-22.1,-25.8,-24,-24.9
19.07.2024 15:39,262,3.8,-35.9,925.7,-69.3,-40,56,-25.9,-23.4,-22.9,-26.6,-24.8,-25.7
19.07.2024 15:42,261,2.8,-36.7,925.7,-69.5,-40,56.25,-26.7,-24.1,-23.6,-27.4,-25.5,-26.5
19.07.2024 15:45,261,1.9,-37.4,925.7,-70.1,-40,56.5,-27.4,-24.8,-24.3,-28.1,-26.3,-27.2
19.07.2024 15:48,262,2,-38.1,925.7,-70.3,-40,57,-28,-25.4,-24.9,-28.7,-26.9,-27.8
19.07.2024 15:51,262,0.8,-38.6,925.7,-69.4,-40,57,-28.6,-25.9,-25.5,-29.3,-27.5,-28.4
19.07.2024 15:54,262,0,-39.4,925.7,-69.6,-40,57.25,-29.3,-26.5,-26,-30,-28.1,-29.1
19.07.2024 15:57,262,-0.2,-40.1,925.7,-71.8,-40,57.5,-30,-27.2,-26.7,-30.7,-28.8,-29.8
19.07.2024 16:00,261,-0.4,-39.5,925.7,-68.7,-40,57.75,-30.3,-27.6,-27,-31,-29.2,-30.1
19.07.2024 16:03,262,1.2,-39.1,925.7,-51.4,-40,74.29,1.5,11,3.3,10.8,13.1,17.4
19.07.2024 16:06,262,3.6,-39,925.7,-40.6,-40,81.07,3.5,10.8,3.8,10.5,13.7,23.8
19.07.2024 16:09,261,5.6,-38.6,925.7,-30.2,-40,84.95,3.9,10.6,4.1,10.4,13.4,20.6
19.07.2024 16:12,261,7.2,-38,925.7,-21.3,-40,87.85,4.7,10.6,4.5,10.5,13.4,22.7
19.07.2024 16:15,262,8.4,-37.2,925.7,-14.2,-40,90.28,5.3,10.2,4.9,10.4,13.1,23.4
19.07.2024 16:18,262,9.5,-36.4,925.7,-8.4,-40,92.21,5.8,10.1,4.9,10.7,13,23.7
19.07.2024 16:21,261,10.3,-35.6,925.7,-3.7,-40,94.64,6.1,10,5.1,10.7,12.7,20.3
19.07.2024 16:24,261,11,-34.8,925.7,0,-40,96.57,6.6,9.9,5.3,10.6,12.6,23.1
19.07.2024 16:27,262,11.9,-34,925.7,3,-40,110000,7.5,10,5.4,10.8,12.7,23.5
19.07.2024 16:30,261,12.6,-33.3,925.7,5.7,-40,110000,3.8,4.3,6.7,25.1,10.9,21.4
19.07.2024 16:33,262,13.1,-32.5,925.7,7.8,-40,110000,4.3,4.4,6.9,25.3,11,20.4
19.07.2024 16:36,262,13.5,-31.8,925.7,9.8,-40,110000,4.6,4.4,6.9,24.2,11.2,20.1
19.07.2024 16:39,262,13.8,-31.1,925.7,11.8,-40,0.1,4.6,4.7,7,26,11.2,21.4
19.07.2024 21:26,351,14.7,2.6,925.7,16.5,-50,107.33,18.1,21.1,22.5,20.8,22.6,23.7
19.07.2024 21:29,350,14.7,2.8,925.7,16.5,-50,110000,17.8,21.1,22.3,20.8,22.3,23.6
19.07.2024 21:32,351,-10.1,3.1,925.7,16.8,-50,110000,17.6,21,22.2,20.8,22.2,23.5
19.07.2024 21:35,351,-11.6,10.5,925.7,-50.1,-50,110000,17.4,20.4,22,20.7,22.4,23.2
19.07.2024 21:38,351,7.7,13.4,925.7,-55.8,-50,92880,17.3,19.4,21.5,19.5,21.2,22
19.07.2024 21:41,351,13.3,9.7,925.7,-41.2,-50,78613.33,16.9,16.6,20.5,17.5,19.7,20.3
19.07.2024 21:44,351,16.8,6,925.7,-32.2,-50,60066.66,15.3,13,18.8,14,17.2,17.7
19.07.2024 21:47,351,17.2,2.8,925.7,-24.8,-50,41520,13.1,9.5,16.6,10.4,14.4,14.8
19.07.2024 21:50,351,15.5,0,925.7,-15.4,-50,24400,10.6,7.2,14.1,7,11.4,11.9
19.07.2024 21:53,350,14.9,-2.7,925.7,-6.5,-50,11560,8.1,7.4,11.5,4,8.5,9.1
19.07.2024 21:56,351,14,-4.9,925.7,0.5,-50,2903.44,5.8,5.6,8.9,7.6,7.7,6.5
19.07.2024 21:59,351,13.2,-6.5,925.7,5.9,-50,2565.62,6.2,4,6.8,7.2,7.9,7.6
19.07.2024 22:02,351,12.8,-7.8,925.7,9.5,-50,2276.06,6.2,2.5,7.7,6.3,7.9,7.4
19.07.2024 22:05,351,12.4,-9.1,925.7,13.5,-50,2083.02,5.6,-1,7.7,1.6,7.9,7.1
19.07.2024 22:08,351,12,-10.4,925.7,17.2,-50,1841.72,5.2,-3.5,7.6,-3.7,7.7,6.9
19.07.2024 22:11,351,11.5,-11.8,925.7,20.2,-50,1648.68,4.7,-5.5,7.3,-6.3,7.2,6.5
19.07.2024 22:14,351,11,-13.2,925.7,22.8,-50,1552.16,3.8,-7.3,7.1,-8,6,6.2
19.07.2024 22:17,351,10.7,-14.7,925.7,24.8,-50,1455.64,1.2,-9.1,6.6,-9.7,2.3,5.7
19.07.2024 22:20,351,11,-16.3,925.7,26.5,-50,1407.38,-1.7,-10.9,6,-11.3,-1.7,5.2
19.07.2024 22:23,351,11.3,-17.9,925.7,27.9,-50,1407.38,-4.6,-12.6,5,-13,-5.5,4.5
19.07.2024 22:26,350,11.5,-19.4,925.7,29,-50,1359.12,-7.5,-14.4,3.6,-14.6,-9.3,2.8
19.07.2024 22:29,351,11.7,-21,925.7,29.8,-50,1359.12,-10.1,-16.2,1.3,-16.3,-12.6,-1
19.07.2024 22:32,351,11.4,-22.5,925.7,30.5,-50,1407.38,-12.8,-17.9,-1.8,-17.9,-15.2,-6
19.07.2024 22:35,351,11.1,-23.9,925.7,31,-50,1407.38,-15.3,-19.6,-5.6,-19.5,-17.2,-10.6
19.07.2024 22:38,351,10.4,-25.2,925.7,31.5,-50,1455.64,-17.4,-21.3,-9.5,-21,-19,-14.4
19.07.2024 22:41,351,9.7,-26.5,925.7,31.8,-50,1455.64,-19.2,-22.8,-13.2,-22.4,-20.7,-17.4
19.07.2024 22:44,351,9,-27.7,925.7,32.1,-50,1455.64,-20.8,-24.3,-16.1,-23.8,-22.2,-19.8
19.07.2024 22:47,351,8.2,-28.9,925.7,32.3,-50,1503.9,-22.1,-25.5,-18.5,-25.1,-23.6,-21.8
19.07.2024 22:50,351,7.4,-30,925.7,32.5,-50,1503.9,-23.3,-26.8,-20.5,-26.2,-24.9,-23.5
19.07.2024 22:53,351,6.8,-31,925.7,32.6,-50,1503.9,-24.4,-27.9,-22.1,-27.4,-26.1,-25
19.07.2024 22:56,351,6,-31.9,925.7,32.7,-50,1503.9,-25.4,-28.9,-23.4,-28.5,-27.1,-26.3
19.07.2024 22:59,351,5.5,-32.8,925.7,32.8,-50,1552.16,-26.2,-29.9,-24.4,-29.5,-28,-27.5
19.07.2024 23:02,351,4.8,-33.7,925.7,32.8,-50,1552.16,-26.9,-30.9,-25.4,-30.5,-28.7,-28.6
19.07.2024 23:05,351,4,-34.5,925.7,32.9,-50,1552.16,-27.4,-31.7,-26.2,-31.4,-29.4,-29.6
19.07.2024 23:08,351,3.5,-35.2,925.7,32.9,-50,1600.42,-27.9,-32.5,-26.9,-32.2,-30.2,-30.3
19.07.2024 23:11,351,2.8,-36,925.7,32.8,-50,1648.68,-28.5,-33.3,-27.6,-33,-30.9,-30.9
